comb,WT_div,LZ_div,type,morph,community,coevolved,morph_comb,WT_coev,LZ_coev,treatment,treatment2,T0_count_ml,T1_count,T1_count_ml
135,1,2,WT,WS,11,N,WS,N,N,2N_1N,WS:SM:N_WS,650000,537,3.58E+09
136,1,2,LZ,SM,9,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,224017.8571,103,686666666.7
136,1,2,LZ,WS,8,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,184553.5714,101,673333333.3
136,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
136,1,2,WT,WS,12,N,WS,N,N,2N_1N,WS:SM:N_WS,468928.5714,272,1813333333
137,1,2,LZ,SM,8,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,251875,201,1.34E+09
137,1,2,LZ,WS,9,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,204285.7143,89,593333333.3
137,1,2,WT,SM,11,N,SM,N,N,2N_1N,WS:SM:N_SM,689464.2857,37,246666666.7
137,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
138,1,2,LZ,SM,8,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,251875,117,7.80E+08
138,1,2,LZ,WS,9,N,SM_WS,N,N,2N_1N,WS:SM:N_SM,204285.7143,95,633333333.3
138,1,2,WT,SM,12,N,SM,N,N,2N_1N,WS:SM:N_SM,726607.1429,10,66666666.67
138,1,2,WT,WS,NA,N,WS,N,N,2N_1N,WS:SM:N_SM,NA,0,NA
139,1,2,LZ,SM,8,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,251875,198,1.32E+09
139,1,2,LZ,WS,9,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,204285.7143,13,86666666.67
139,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
139,1,2,WT,WS,11,N,WS,N,N,2N_1N,WS:SM:N_WS,650000,172,1146666667
14,1,1,LZ,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,19,NA
14,1,1,LZ,WS,4,N,WS,N,N,1N_1N,WS_WS,141839.2857,210,1.40E+09
14,1,1,WT,SM,NA,N,SM,N,N,1N_1N,WS_WS,NA,1,NA
14,1,1,WT,WS,7,N,WS,N,N,1N_1N,WS_WS,175267.8571,72,4.80E+08
140,1,2,LZ,SM,8,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,251875,174,1.16E+09
140,1,2,LZ,WS,9,N,SM_WS,N,N,2N_1N,WS:SM:N_WS,204285.7143,5,33333333.33
140,1,2,WT,SM,NA,N,SM,N,N,2N_1N,WS:SM:N_WS,NA,0,NA
140,1,2,WT,WS,12,N,WS,N,N,2N_1N,WS:SM:N_WS,468928.5714,323,2153333333
141,2,2,LZ,SM,9,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,224017.8571,42,2.80E+08
141,2,2,LZ,WS,8,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,184553.5714,223,1486666667
141,2,2,WT,SM,12,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,363303.5714,13,86666666.67
141,2,2,WT,WS,11,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,325000,318,2.12E+09
142,2,2,LZ,SM,8,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,251875,42,2.80E+08
142,2,2,LZ,WS,9,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,204285.7143,28,186666666.7
142,2,2,WT,SM,12,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,363303.5714,24,1.60E+08
142,2,2,WT,WS,11,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,325000,85,566666666.7
143,2,2,LZ,SM,9,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,224017.8571,17,113333333.3
143,2,2,LZ,WS,8,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,184553.5714,113,753333333.3
143,2,2,WT,SM,11,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,344732.1429,9,6.00E+07
143,2,2,WT,WS,12,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,234464.2857,632,4213333333
144,2,2,LZ,SM,8,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,251875,84,5.60E+07
144,2,2,LZ,WS,9,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,204285.7143,50,33333333.33
144,2,2,WT,SM,11,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,344732.1429,206,137333333.3
144,2,2,WT,WS,12,N,SM_WS,N,N,2N_2N,WS:SM:N_WS:SM:N,234464.2857,225,1.50E+08
145,2,2,LZ,SM,9,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,224017.8571,22,146666666.7
145,2,2,LZ,WS,8,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,184553.5714,172,1146666667
145,2,2,WT,SM,11,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,344732.1429,5,33333333.33
145,2,2,WT,WS,11,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,325000,212,1413333333
146,2,2,LZ,SM,8,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,251875,52,346666666.7
146,2,2,LZ,WS,9,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,204285.7143,14,93333333.33
146,2,2,WT,SM,11,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,344732.1429,16,106666666.7
146,2,2,WT,WS,11,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,325000,39,2.60E+08
147,2,2,LZ,SM,8,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,251875,12,8.00E+07
147,2,2,LZ,WS,9,N,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,204285.7143,14,93333333.33
147,2,2,WT,SM,12,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,363303.5714,5,33333333.33
147,2,2,WT,WS,12,Y,SM_WS,Y,N,2N_2Y,WS:SM:N_WS:SM:Y,234464.2857,204,1.36E+09
148,2,2,LZ,SM,8,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,251875,53,353333333.3
148,2,2,LZ,WS,8,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,184553.5714,72,4.80E+08
148,2,2,WT,SM,12,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,363303.5714,13,86666666.67
148,2,2,WT,WS,12,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,234464.2857,295,1966666667
149,2,2,LZ,SM,8,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,251875,87,5.80E+08
149,2,2,LZ,WS,8,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,184553.5714,168,1.12E+09
149,2,2,WT,SM,11,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,344732.1429,10,66666666.67
149,2,2,WT,WS,11,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,325000,91,606666666.7
15,2,1,LZ,SM,4,N,SM,Y,N,1N_2Y,SM_WS:SM:Y,244446.4286,178,1186666667
15,2,1,LZ,WS,NA,N,WS,Y,N,1N_2Y,SM_WS:SM:Y,NA,0,NA
15,2,1,WT,SM,7,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,358660.7143,12,8.00E+07
15,2,1,WT,WS,7,Y,SM_WS,Y,N,1N_2Y,SM_WS:SM:Y,87633.92857,126,8.40E+08
150,2,2,LZ,SM,9,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,224017.8571,62,41333333.33
150,2,2,LZ,WS,9,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,204285.7143,20,13333333.33
150,2,2,WT,SM,12,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,363303.5714,76,50666666.67
150,2,2,WT,WS,12,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,234464.2857,32,21333333.33
151,2,2,LZ,SM,9,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,224017.8571,240,1.60E+08
151,2,2,LZ,WS,9,Y,SM_WS,Y,Y,2Y_2Y,WS:SM:Y_WS:SM:Y,204285.7143,51,3.40E+07
